#radius total type_0_0 type_0_1 type_0_2 type_0_3
1.97250 1.34517 0.07348 0.00000 0.00000 3.55288
1.98750 1.40723 0.09109 0.00000 0.00000 3.44067
2.00250 1.48041 0.11688 0.00000 0.00000 3.33779
2.01750 1.54196 0.14355 0.00000 0.00000 3.21272
2.03250 1.59778 0.17042 0.00000 0.00000 3.08775
2.04750 1.63928 0.21087 0.00000 0.00000 2.96464
2.06250 1.66486 0.25055 0.00000 0.00000 2.83681
2.07750 1.66419 0.29539 0.00000 0.00000 2.70440
2.09250 1.64406 0.35303 0.00000 0.00000 2.58329
2.10750 1.60445 0.41836 0.00000 0.00000 2.46669
2.12250 1.54946 0.47684 0.00000 0.00000 2.35081
2.13750 1.47812 0.55993 0.00000 0.00000 2.23437
2.15250 1.40326 0.63460 0.00000 0.00000 2.14017
2.16750 1.32258 0.72292 0.00000 0.00000 2.03729
2.18250 1.23967 0.81965 0.00000 0.00000 1.93946
2.19750 1.16298 0.91858 0.00000 0.00000 1.84516
2.21250 1.10143 1.03886 0.00000 0.00000 1.76493
2.22750 1.04287 1.14155 0.00000 0.00000 1.68877
2.24250 1.00149 1.25300 0.00000 0.00000 1.61821
2.25750 0.96918 1.38939 0.00000 0.00000 1.54509
2.27250 0.94948 1.49977 0.00000 0.00000 1.48347
2.28750 0.94678 1.62582 0.00000 0.00016 1.42791
2.30250 0.95059 1.75296 0.00000 0.00015 1.37032
2.31750 0.96232 1.86954 0.00000 0.00031 1.32201
2.33250 0.98113 1.99268 0.00008 0.00034 1.26924
2.34750 1.00815 2.11429 0.00002 0.00063 1.22509
2.36250 1.03627 2.21895 0.00002 0.00037 1.18717
2.37750 1.06709 2.32501 0.00007 0.00109 1.14715
2.39250 1.09953 2.43283 0.00010 0.00169 1.11608
2.40750 1.12331 2.50749 0.00009 0.00230 1.08019
2.42250 1.14915 2.59199 0.00023 0.00402 1.05095
2.43750 1.16866 2.66625 0.00035 0.00539 1.01995
2.45250 1.18404 2.73987 0.00082 0.00901 0.98652
2.46750 1.19743 2.79718 0.00092 0.01207 0.97178
2.48250 1.20133 2.83411 0.00102 0.01743 0.94557
2.49750 1.19701 2.85702 0.00193 0.02674 0.92714
2.51250 1.19359 2.89253 0.00299 0.03741 0.90778
2.52750 1.17953 2.88997 0.00422 0.04999 0.88625
2.54250 1.16513 2.88749 0.00580 0.06754 0.87011
2.55750 1.14623 2.86765 0.00751 0.09467 0.85536
2.57250 1.12652 2.85300 0.01134 0.12782 0.83570
2.58750 1.10235 2.80607 0.01558 0.16757 0.81923
2.60250 1.07982 2.76684 0.02280 0.22011 0.80238
2.61750 1.06082 2.71899 0.02977 0.28566 0.78828
2.63250 1.03909 2.66049 0.04064 0.36394 0.77367
2.64750 1.02464 2.60479 0.05346 0.46243 0.75993
2.66250 1.01331 2.52776 0.07262 0.56732 0.74944
